Stock,Portfolio,Beta
ABB.NS,IIP,0.39510829480169407
ABB.NS,CPI,0.44658595093255193
TITAGARH.NS,GDP,0.9637401780492303
TITAGARH.NS,IIP,0.6742842019482033
TITAGARH.NS,CPI,0.7800540416707442
M&MFIN.NS,GDP,1.0414720478351698
M&MFIN.NS,IIP,0.5839614572018299
M&MFIN.NS,CPI,0.6899521931518927
SHRIRAMFIN.NS,GDP,1.0127421910705374
SHRIRAMFIN.NS,IIP,0.48726510511383475
SHRIRAMFIN.NS,CPI,0.6429096323510395
PFC.NS,GDP,0.9869780513692147
PFC.NS,IIP,0.7396349035200794
PFC.NS,CPI,0.7580967813630743
ALKYLAMINE.NS,GDP,0.623825634715953
ALKYLAMINE.NS,IIP,0.393406592477881
ALKYLAMINE.NS,CPI,0.470890767576855
CANFINHOME.NS,GDP,0.8795180615948737
CANFINHOME.NS,IIP,0.5618292127393666
CANFINHOME.NS,CPI,0.6574822117520118
NESTLEIND.NS,GDP,0.36342545898590217
NESTLEIND.NS,IIP,0.16463316414273677
NESTLEIND.NS,CPI,0.434170283066443
NAVA.NS,GDP,0.7391252667939934
NAVA.NS,IIP,0.561303355155461
NAVA.NS,CPI,0.5904523535017243
HINDALCO.NS,GDP,0.9932313640881233
HINDALCO.NS,IIP,0.6383231185869
HINDALCO.NS,CPI,0.6376411413420756
SUZLON.NS,GDP,0.8952975017164094
SUZLON.NS,IIP,0.7867233317010998
SUZLON.NS,CPI,0.7559585584731073
CRISIL.NS,GDP,0.3409575076051364
CRISIL.NS,IIP,0.20701799585890623
CRISIL.NS,CPI,0.28992544976427287
SUNDRMFAST.NS,GDP,0.4680316695464571
SUNDRMFAST.NS,IIP,0.32904116424709245
SUNDRMFAST.NS,CPI,0.445638203861471
ASTRAL.NS,GDP,0.5755665082133046
ASTRAL.NS,IIP,0.33784221354438543
ASTRAL.NS,CPI,0.6431354397098282
EXIDEIND.NS,GDP,0.7886084741229912
EXIDEIND.NS,IIP,0.49939042903376785
EXIDEIND.NS,CPI,0.6304463289141198
GMRAIRPORT.NS,GDP,1.12517446776618
GMRAIRPORT.NS,IIP,0.8413118644834806
GMRAIRPORT.NS,CPI,0.8402205557269998
PRESTIGE.NS,GDP,0.8680051070384452
PRESTIGE.NS,IIP,0.5241326349221279
PRESTIGE.NS,CPI,0.6257052716629569
GRAVITA.NS,GDP,0.8336197390749475
GRAVITA.NS,IIP,0.6072713020222692
GRAVITA.NS,CPI,0.6442837384254999
PRAJIND.NS,GDP,0.9560083376056178
PRAJIND.NS,IIP,0.7375691867373791
PRAJIND.NS,CPI,0.7366872688493783
VTL.NS,GDP,0.4772857680225003
VTL.NS,IIP,0.3981568890342315
VTL.NS,CPI,0.39267428149051403
M&M.NS,GDP,0.9308231538280969
M&M.NS,IIP,0.40073381293810734
M&M.NS,CPI,0.5064855623900851
3MINDIA.NS,GDP,0.433733216418744
3MINDIA.NS,IIP,0.29250153675395474
3MINDIA.NS,CPI,0.380359133639118
GRANULES.NS,GDP,0.7447081308803651
GRANULES.NS,IIP,0.5549203459894387
GRANULES.NS,CPI,0.7785518143261068
DLF.NS,GDP,1.1929417733670493
DLF.NS,IIP,0.8137437022241276
DLF.NS,CPI,0.8464243260469205
SUNTV.NS,GDP,0.8219782402125229
SUNTV.NS,IIP,0.5102073732836864
SUNTV.NS,CPI,0.6267932981629952
CENTRALBK.NS,GDP,0.8263248452102002
CENTRALBK.NS,IIP,0.6576776103680915
CENTRALBK.NS,CPI,0.6309425860497808
PETRONET.NS,GDP,0.5814730921545797
PETRONET.NS,IIP,0.4084384016236792
PETRONET.NS,CPI,0.4547760440706761
SBIN.NS,GDP,0.9305171964162045
SBIN.NS,IIP,0.612571508050121
SBIN.NS,CPI,0.6013748275130937
COLPAL.NS,GDP,0.38701614808371537
COLPAL.NS,IIP,0.20830801128378165
COLPAL.NS,CPI,0.47593231036947475
JSWSTEEL.NS,GDP,0.9356109219651834
JSWSTEEL.NS,IIP,0.6326521514113504
JSWSTEEL.NS,CPI,0.6435829917535332
TATAINVEST.NS,GDP,0.546477104658817
TATAINVEST.NS,IIP,0.3986755166323009
TATAINVEST.NS,CPI,0.41871137256901847
BANKBARODA.NS,GDP,1.0573322142792891
